AD_ax (m/s^2),AD_ay (m/s^2),AD_az (m/s^2)
5.203971356501280697e-03,4.999120160207205267e-03,7.948565726392657280e-03
3.678549082468381224e-03,3.550238110024232178e-03,5.638139197473673175e-03
3.001490487025989737e-03,2.911732342915016036e-03,4.581443175184726248e-03
2.587204476865773498e-03,2.528399257923698209e-03,3.971625231290932916e-03
2.325614005990760125e-03,2.254451856728748038e-03,3.542336624335045564e-03
2.126789402278439316e-03,2.060173289383712952e-03,3.216822755645226770e-03
1.963192752464553228e-03,1.897025325752507534e-03,2.994367363733708032e-03
1.832762201695152266e-03,1.777430425849895910e-03,2.782214502252950035e-03
1.735296412858566449e-03,1.678815820423120234e-03,2.628532366502111910e-03
1.636417957951711482e-03,1.592048288929167037e-03,2.500317234802127558e-03
1.565707501562603465e-03,1.515521916447277800e-03,2.383830839952395808e-03
1.493952341873926518e-03,1.454597798509494819e-03,2.283865581019679358e-03
1.432477187648663894e-03,1.399288264441613623e-03,2.233010073452151162e-03
1.371053734823814325e-03,1.341192856207035124e-03,2.139475931407311144e-03
1.328908321758842182e-03,1.270722081518578300e-03,2.058958579996720845e-03
1.292778915054080538e-03,1.249101797492237036e-03,1.993307660977273934e-03
1.251336362189908085e-03,1.206128080133889646e-03,1.960203872929417758e-03
1.211736706246039665e-03,1.170840851262484579e-03,1.874955637130011491e-03
1.185283643683817702e-03,1.142413368850868360e-03,1.841346157819208004e-03
1.146632047314147468e-03,1.109144075405901417e-03,1.770777169833319137e-03
1.128581700112143201e-03,1.084908642838204639e-03,1.740745444707393879e-03
1.113612951566930005e-03,1.062674922901328057e-03,1.716570153173921408e-03
1.071788683427699583e-03,1.038655166336076947e-03,1.669022924749964144e-03
1.048765720645759760e-03,1.008591841534560007e-03,1.630416237904225817e-03
1.038239507092957948e-03,1.003270300835305568e-03,1.591895015834568971e-03
1.008662883698795143e-03,9.890793012266323094e-04,1.584904785340524643e-03
9.856850903172352778e-04,9.666303589511056078e-04,1.564112343591239325e-03
9.654284772710817596e-04,9.360062138396496242e-04,1.515105616258092397e-03
9.403535590295779463e-04,9.187124604739242044e-04,1.483718131185254255e-03
9.447833787527345085e-04,9.076909938448940278e-04,1.472142760560059228e-03
9.232116560158420797e-04,9.049139626040400173e-04,1.442322521476504344e-03
9.106451518181604395e-04,8.900444316109207147e-04,1.420605573302832856e-03
9.043597213565523780e-04,8.716057468051634054e-04,1.397249559245287162e-03
8.800211530247739871e-04,8.483884732792351885e-04,1.383889015501162762e-03
8.742507435854046487e-04,8.509074510179989118e-04,1.353129521116766282e-03
8.597020810833973237e-04,8.261315267332385373e-04,1.343980665102380767e-03
8.393489220862170204e-04,8.108096458713072918e-04,1.327857551147361469e-03
8.435669081038723932e-04,8.175141148232179704e-04,1.294345373839993815e-03
8.104338274955978118e-04,7.994052926886913114e-04,1.286349621476058983e-03
8.181079430164680741e-04,7.974429445936313809e-04,1.255968123376694379e-03
8.100198713367882421e-04,7.771306331179759141e-04,1.256971414047356036e-03
7.939066262053338279e-04,7.571065830683513164e-04,1.234182421591636068e-03
7.808743782545608976e-04,7.543966172662771056e-04,1.217458693427840577e-03
7.888303387680473816e-04,7.582181229215314167e-04,1.216913698151466132e-03
7.726095751740260850e-04,7.397318728991608130e-04,1.212233970313256236e-03
7.588944791140839934e-04,7.406471436052312072e-04,1.169470480639673605e-03
7.538264851503533514e-04,7.160603002796177112e-04,1.160777443569324923e-03
7.417804067623307842e-04,7.122989068565850406e-04,1.146104856805239608e-03
7.430524240494010757e-04,7.133147312198826525e-04,1.134999886193925134e-03
7.385978597843108210e-04,7.011666927608808074e-04,1.128525467673208984e-03
7.107437011459282177e-04,7.012359940266916104e-04,1.131857379300585517e-03
7.147519000687852517e-04,6.940603893058364072e-04,1.142934926867764794e-03
7.157549426147749496e-04,6.873414744637436347e-04,1.109000551384872399e-03
6.941040149465722668e-04,6.814699705183995633e-04,1.105506946388709177e-03
6.912576834880513384e-04,6.739490065584118755e-04,1.093197790430411624e-03
6.923896726072047017e-04,6.698449320269662987e-04,1.061309730966515695e-03
6.847190806345080510e-04,6.475417811697869097e-04,1.057448660074062361e-03
6.681619233095286749e-04,6.459055831966245683e-04,1.046272663654559910e-03
6.599197726399295971e-04,6.521011766718297093e-04,1.041118334296895669e-03
6.640116825477643432e-04,6.402837400723535065e-04,1.007750594859939050e-03
6.523451049282583862e-04,6.434786878185749445e-04,1.015191782288755833e-03
6.457001574928378099e-04,6.345193985573948248e-04,1.004698896348709715e-03
6.338729571762203967e-04,6.212163325909549495e-04,1.027782086044582788e-03
6.292691238233900268e-04,6.231839785687317158e-04,9.939010081459686511e-04
6.397490849790072329e-04,6.213610001288809173e-04,9.942210647118268196e-04
6.281376762507154396e-04,6.090299131503213890e-04,9.853571923358686591e-04
6.150666530960003991e-04,5.932199662436033307e-04,9.597550838411668265e-04
6.280861643232854780e-04,6.064005613440224748e-04,9.992481614864614625e-04
6.261952898724626937e-04,5.883406164866794357e-04,9.772763026215209540e-04
6.144270913935935031e-04,5.891934512858901761e-04,9.548902471078239088e-04
6.066421676992806876e-04,6.048101213519965986e-04,9.407003173135644646e-04
6.091122428490698248e-04,5.812579585908115003e-04,9.581678350934831915e-04
6.058410717705887960e-04,5.783565368657800528e-04,9.197890223918844203e-04
5.893495939227861398e-04,5.630070163777976897e-04,9.287418752158556985e-04
5.913160121035553963e-04,5.753239122801734762e-04,9.293838320318880374e-04
5.848278432289472821e-04,5.706217465046434711e-04,9.174857555431507232e-04
5.858765913788892580e-04,5.764632889835177116e-04,9.231490073487863546e-04
5.799457254041998208e-04,5.677121157575138735e-04,8.929456499443147541e-04
5.618236872755790357e-04,5.518785196426897761e-04,8.947915585948535647e-04
5.717797478497699737e-04,5.629829179956966686e-04,9.069475301877527118e-04
5.689290018229650921e-04,5.478045966950679645e-04,9.038663833880001891e-04
5.681546700827795962e-04,5.431230734637349433e-04,8.950138314231839394e-04
5.701530239766044485e-04,5.458975801898688536e-04,8.893560774949345153e-04
5.724734382321807879e-04,5.398098980342320823e-04,8.831949171117998206e-04
5.587819895080061881e-04,5.354046333422230255e-04,8.686264998886596015e-04
5.543324822718469604e-04,5.458369252007806358e-04,8.551755859680402680e-04
5.500202186798088758e-04,5.351511241968739084e-04,8.522350501281535963e-04
5.599584365320274797e-04,5.234828661193558419e-04,8.407844861526735840e-04
5.554103426755253219e-04,5.212483405368311361e-04,8.566557421764828175e-04
5.377275106116791289e-04,5.276699169717073657e-04,8.574140404814372405e-04
5.369387463880269471e-04,5.173769181591984659e-04,8.386883527640052668e-04
5.289077329328688119e-04,5.167725921740803658e-04,8.440825200332769795e-04
5.357259116249926418e-04,5.172637226866067493e-04,8.221686123836964523e-04
