AD_wx (rad/s),AD_wy (rad/s),AD_wz (rad/s)
7.272544407525958652e-04,7.281867491931736693e-04,7.269502165111453541e-04
5.158075797377223090e-04,5.141533460897309248e-04,5.161272699232054371e-04
4.222365257169356290e-04,4.201455943368405626e-04,4.237047307243084352e-04
3.650856405667138403e-04,3.641725892694321412e-04,3.678065229145080625e-04
3.250767330240295397e-04,3.257361430198609008e-04,3.279765503868067194e-04
2.969437334193408091e-04,2.953830257991273481e-04,2.975375245181114065e-04
2.742425347713381683e-04,2.738693483475478454e-04,2.760080793186207404e-04
2.543570740865528962e-04,2.572318718949157131e-04,2.563061952611456673e-04
2.437651355164426937e-04,2.437898910994077567e-04,2.420132444900525677e-04
2.282031742636203629e-04,2.297593647103397894e-04,2.308184711379077786e-04
2.176290577884553356e-04,2.210630410582851025e-04,2.202412556198185599e-04
2.120418502541732185e-04,2.103301326558553223e-04,2.115353057286151943e-04
2.015004003841520941e-04,2.035172425739387289e-04,2.020990720193321932e-04
1.949861523997868207e-04,1.956915147222395017e-04,1.961602427737257025e-04
1.859708615517570028e-04,1.892850051190049661e-04,1.871849791430036714e-04
1.807123037916669259e-04,1.840734696382072407e-04,1.819377551854140299e-04
1.757168977561171909e-04,1.783551978312429738e-04,1.753051529902366118e-04
1.710666198338728317e-04,1.712806335585542251e-04,1.717406286690718029e-04
1.669930986750834225e-04,1.669077625166030473e-04,1.668075725448827783e-04
1.601685550995924604e-04,1.645001516780717008e-04,1.643871302645239093e-04
1.573431808517359589e-04,1.593485567377485334e-04,1.593807649250436435e-04
1.551480430997653195e-04,1.555201834870535964e-04,1.553567865940362115e-04
1.507527117560060850e-04,1.516708896198649601e-04,1.511470151488527073e-04
1.485155719577038790e-04,1.489873825346639134e-04,1.485123515530998672e-04
1.465362965498015143e-04,1.476253350457143140e-04,1.443455759801548618e-04
1.424436770094135278e-04,1.434148904978658958e-04,1.411169210243673911e-04
1.414702499209459030e-04,1.393351657436388725e-04,1.395842592888187116e-04
1.380247244651435206e-04,1.377842149000190115e-04,1.383292994817441690e-04
1.352267873463979680e-04,1.358574543003452512e-04,1.363888917988117545e-04
1.318352876861192174e-04,1.323434506930447503e-04,1.306019490730534556e-04
1.314216561922216815e-04,1.295619591441111822e-04,1.304033777768259263e-04
1.288005263714776414e-04,1.294889627115632775e-04,1.289841204487284215e-04
1.259934047364780815e-04,1.284618428369860917e-04,1.242358787825604660e-04
1.246978718765961232e-04,1.248395096513831774e-04,1.222614381411055368e-04
