AD_wx (rad/s),AD_wy (rad/s),AD_wz (rad/s)
6.400716684693946159e-05,6.603915878618066510e-05,6.483970239515146193e-05
6.607202557506028546e-05,6.366616410145473862e-05,6.412233698025947249e-05
6.330831647748439393e-05,6.376065759140531891e-05,6.514540450224371273e-05
6.287979376894710230e-05,6.582691543916193713e-05,6.457123125200845727e-05
6.222176185857275586e-05,6.522563739901131134e-05,6.196869602783228040e-05
6.315101845188287677e-05,6.599903454929485151e-05,6.362636110526581016e-05
6.131790538587504591e-05,6.445064930752793220e-05,6.182839696798062749e-05
6.313212905075290388e-05,6.473975224275848575e-05,6.218077671941075774e-05
6.193761424286661245e-05,6.166048287342614257e-05,6.537095047875148327e-05
6.030640315611790698e-05,6.311047493526622857e-05,6.114429191582646829e-05
6.425035898426477584e-05,6.345496104869436705e-05,6.208931320338074641e-05
6.064991857237978266e-05,6.418608683872726098e-05,6.353218650887153957e-05
6.175736224502021982e-05,6.367413989045174851e-05,5.823032793021948821e-05
6.150169365799771964e-05,6.306028988140179687e-05,6.073098014888442150e-05
6.014405186486780023e-05,6.164142997751596896e-05,6.208940289657055209e-05
5.797714107405003574e-05,6.165284962793740717e-05,6.054961759035252844e-05
6.186880920182383215e-05,6.045273412120719374e-05,6.025445406556053784e-05
6.160763087653259578e-05,6.216757877775204628e-05,5.952428644665415809e-05
6.072765181327666222e-05,6.108409620812284854e-05,5.989279343190136569e-05
5.895196946307150541e-05,6.105359242807214799e-05,5.828586012518241754e-05
5.810203108551524544e-05,6.281617439179606446e-05,5.933158366656227090e-05
5.809127743597814538e-05,5.978078111095200888e-05,5.786699477646290921e-05
6.133355639883263728e-05,6.293572660035833758e-05,5.948823877962249561e-05
5.782296712154322575e-05,5.975446834353209197e-05,5.742498860369604189e-05
5.872141898017367790e-05,6.101071640982486257e-05,5.995542285756917531e-05
5.845984603191552864e-05,6.112432059214478373e-05,5.687419774391989642e-05
5.767979647600185238e-05,6.039642043369331496e-05,5.806363595633628777e-05
5.961322752268535731e-05,5.846909312589439834e-05,5.832473578513433060e-05
5.775282439238133079e-05,5.967859708812841809e-05,5.703513808390014089e-05
5.849776367492394289e-05,5.910894945921259675e-05,5.673971094901966695e-05
5.676501442651053292e-05,5.899536490055161527e-05,5.818679684120203923e-05
5.866855647603440928e-05,5.977475040554650591e-05,5.836400988403437896e-05
5.673195300040367189e-05,5.758142472138799277e-05,5.799227195527964241e-05
5.681343264563584928e-05,5.990354764434169862e-05,5.631961265653881676e-05
5.502866494848896670e-05,5.670815956509154057e-05,5.774063948374953616e-05
5.565773339359462584e-05,5.906416579608555567e-05,5.554340334255887621e-05
5.626996274905103314e-05,5.942143142690285522e-05,5.546654845901900538e-05
5.513108279826245932e-05,5.794538147302379831e-05,5.938508403315760403e-05
5.679670035426873619e-05,5.870431131195845648e-05,5.695639785437551757e-05
5.612636452247608506e-05,5.803466804210925464e-05,5.430514054120361649e-05
5.540675047206061223e-05,5.871377437695184267e-05,5.362827610154419065e-05
5.739109039835669428e-05,5.714190422939051525e-05,5.589960474232380516e-05
5.523850764593400572e-05,5.914180639968259946e-05,5.572020515512512192e-05
5.416104070672607450e-05,5.864208455380123542e-05,5.676537849841738485e-05
5.650458264104237985e-05,5.752091728436164553e-05,5.574800356794825301e-05
5.344248535345429347e-05,5.840158282755500868e-05,5.477075589737144214e-05
5.436781486461049001e-05,5.707060194753368237e-05,5.532373403040829975e-05
5.621149170008767678e-05,5.735238360799779328e-05,5.568728594347196163e-05
5.566827982436044973e-05,5.716876513259543693e-05,5.658779674315064762e-05
5.609198631718773591e-05,5.727282504220896633e-05,5.459064328525490927e-05
5.472169774478104079e-05,5.639862094265618440e-05,5.390440421322491440e-05
5.377092897514277101e-05,5.585898652025877303e-05,5.360711298705105428e-05
5.379023201079364560e-05,5.512294245956560153e-05,5.509230121867377000e-05
5.571310731437028755e-05,5.556166380529030212e-05,5.314743675661773385e-05
5.212115467993963779e-05,5.540696721620773780e-05,5.442608668026107640e-05
5.525524171270768212e-05,5.663534223472459114e-05,5.272957549653309458e-05
5.554173485991834806e-05,5.471672728286669133e-05,5.171430481185137091e-05
5.217832545261844187e-05,5.531174235492540157e-05,5.065163985727741234e-05
5.323614253249138055e-05,5.607019745896494044e-05,5.192785476413760249e-05
5.078417534818303604e-05,5.473991601680484019e-05,5.313744541498186479e-05
5.224965807710595193e-05,5.437166639226819511e-05,5.348222842507600113e-05
5.138891330895107380e-05,5.501419257610060657e-05,5.443929392939453457e-05
5.361195512167840171e-05,5.367824328472702993e-05,5.356567329476708678e-05
5.170747419398532538e-05,5.327697058521919298e-05,5.316089623789158536e-05
5.019091164297549110e-05,5.467416716527857996e-05,5.226927324797339198e-05
5.180329980266854949e-05,5.574494402100818152e-05,5.127133948856829723e-05
5.115520613642923612e-05,5.362071392176733707e-05,5.314160778316503542e-05
5.034730887553210950e-05,5.229132329949161387e-05,5.226615740370222507e-05
5.058466723565903335e-05,5.298295865377908287e-05,5.295311046620255699e-05
5.009128842972669540e-05,5.251213809857812692e-05,5.344387128702145001e-05
5.048284143242095427e-05,5.485085214252608931e-05,5.128893984303348419e-05
5.162798002315422124e-05,5.459804892738130612e-05,5.152522828242032992e-05
5.094794031543673987e-05,5.399786272237679183e-05,5.190281176858818645e-05
5.012436302632647807e-05,5.232462115805204626e-05,5.115785832950066017e-05
4.994905064648031507e-05,5.317606561709902147e-05,5.011853449167569464e-05
5.054092287938811783e-05,5.428553319309214890e-05,5.080417951925014964e-05
5.102230560489324601e-05,5.421975541310602103e-05,5.123702907169972305e-05
5.233570494677229515e-05,5.279544711473833896e-05,5.212679541516381741e-05
5.044841857122372449e-05,5.165507980169172289e-05,5.226737482418384987e-05
4.841071418905527250e-05,5.260211323887601487e-05,5.134908243133787774e-05
4.717771847609252342e-05,5.214084359748101332e-05,4.992473592701633959e-05
5.050361182405420260e-05,5.215800287044706888e-05,4.946564303818060690e-05
5.037793510176153539e-05,5.129612229413866756e-05,5.000722217936509286e-05
4.893936784134362086e-05,5.103212087730910003e-05,4.988983592679718646e-05
4.777113876939521311e-05,5.297444837206453824e-05,4.794783439682673813e-05
4.868322225020471183e-05,5.110752182564502207e-05,5.064363070218535931e-05
4.870196272658183822e-05,5.066852796158797173e-05,4.988027603510691881e-05
4.759546055283346040e-05,5.123482623013313658e-05,5.002864446976123121e-05
5.073108570245627331e-05,5.300188368325778354e-05,5.009502645761519955e-05
4.954402414505516909e-05,5.154145047624082986e-05,4.928415088281467649e-05
4.834116792407421265e-05,5.189742193244871151e-05,5.094895139446393696e-05
4.770702044371386295e-05,5.111981822848671802e-05,4.857519596706026200e-05
4.933845837168647383e-05,5.270608370224304641e-05,4.959367601193934296e-05
4.759471689061635396e-05,5.113265746371999961e-05,4.877545991919989211e-05
4.663315688326104003e-05,5.183456190554101628e-05,4.714288264921577125e-05
4.786927713642960764e-05,5.113032070016300639e-05,4.831929872013861400e-05
4.778812279988037568e-05,4.993560491664348472e-05,4.716098613708814185e-05
4.634902009196656934e-05,4.842569720317992554e-05,4.633173387722410092e-05
4.610766198993296777e-05,5.050621372588777090e-05,4.826379155452781072e-05
4.646926472487654641e-05,4.972735863723463565e-05,4.955498865529363913e-05
4.918431346012717384e-05,5.118767377598901154e-05,4.869701587827553982e-05
4.633554984640176998e-05,5.227376889375287902e-05,4.893943689745685200e-05
4.833481583791429654e-05,5.380371632444405606e-05,4.899299598529808207e-05
4.663784156443227786e-05,5.056226505695139147e-05,4.952781779571325746e-05
4.782599142426418812e-05,5.031396274094665386e-05,4.806039362175019535e-05
4.590166305498295514e-05,4.913748153561184800e-05,4.631815851540898920e-05
4.631603730938890393e-05,4.776343569723111142e-05,4.661850482689702785e-05
4.683880565105062103e-05,5.007434119634155426e-05,4.901476210886471956e-05
4.588825511602689428e-05,5.088351745733696925e-05,4.636230636043324563e-05
4.640353735052818500e-05,4.770855777007900953e-05,4.932621321340534086e-05
4.598605089662287734e-05,4.844739807003551067e-05,4.639968108178514118e-05
4.680487650538072135e-05,4.989669459401577261e-05,4.756982939726059269e-05
4.704745069216647419e-05,5.027227493520568079e-05,4.626181471111842994e-05
4.778476295092182251e-05,4.959208206920627792e-05,4.791798355100319699e-05
4.619990667453903216e-05,5.024868077431746333e-05,4.589505302859379112e-05
4.625073642739892639e-05,4.705954790106099212e-05,4.744506014256581760e-05
4.338531263294010364e-05,4.743815866162259288e-05,4.692815234331115196e-05
4.563803801457628139e-05,4.989379301295211711e-05,4.654859164399111201e-05
4.491054067088167073e-05,4.896990938011339898e-05,4.655250335463111274e-05
4.501710292075130054e-05,5.000177147321268971e-05,4.517951736929296479e-05
4.589871414335624004e-05,4.994956686338477664e-05,4.596740057091827506e-05
4.506247506653181142e-05,4.933854291207436795e-05,4.431177786059627773e-05
4.402203214826970950e-05,4.887979069097705238e-05,4.626254104430547299e-05
4.573797894914760187e-05,4.937621882266847743e-05,4.733735845771358259e-05
4.493426842949467651e-05,4.592330476869202753e-05,4.557824056733720592e-05
4.526677485509201908e-05,4.860201032259954583e-05,4.455427814196161179e-05
4.369685816220422438e-05,5.049673447428072368e-05,4.559592650134289699e-05
4.230349158207980924e-05,4.732668872428657977e-05,4.664998290167838982e-05
4.516711258318131962e-05,5.007609194057846829e-05,4.514736677514612949e-05
4.446255261812784185e-05,4.687888248312528579e-05,4.594211822168155749e-05
4.418800131128932491e-05,4.864530626784844316e-05,4.450103276968271220e-05
4.406266054121117112e-05,4.887018542234581724e-05,4.412988442381482777e-05
4.366247329547846200e-05,4.828501373590458093e-05,4.421545781302882260e-05
4.467752286119356335e-05,4.823569849351574821e-05,4.691146951666768354e-05
4.358972048043001509e-05,4.545523152728460592e-05,4.395782245920211537e-05
4.491291030320872723e-05,4.821291010196116530e-05,4.579475150866156379e-05
4.382860535578024779e-05,4.578574668443086170e-05,4.578312912484400801e-05
4.527910996146187680e-05,4.751125588144989204e-05,4.579259068444896960e-05
4.360291270330609459e-05,4.772731943997082543e-05,4.630501479765328758e-05
4.362194028814862752e-05,4.616270714321088616e-05,4.305092738691662581e-05
4.291828024856889008e-05,4.453023245464344723e-05,4.353018447904381501e-05
4.248887749794044363e-05,4.713349252084391696e-05,4.481462385588780165e-05
4.075009756453396763e-05,4.637313034228291076e-05,4.491292290275195536e-05
4.145025900903893224e-05,4.936313265326815268e-05,4.455440121543891100e-05
4.357655864847519438e-05,4.701875397857633991e-05,4.522139588582445421e-05
4.234773774843858562e-05,4.599559751592005238e-05,4.466243697603533970e-05
4.434566297525020220e-05,4.652095731669653845e-05,4.331840925411935039e-05
4.293382572955424851e-05,4.731063483370743204e-05,4.316365610509463146e-05
4.245997005465859697e-05,4.771191780879221458e-05,4.618254545744289788e-05
4.048257352129369863e-05,4.554595756153170664e-05,4.578610209616391891e-05
4.305230309442075755e-05,4.573686588515450875e-05,4.384464811480238175e-05
4.101033343662755393e-05,4.513980713557243116e-05,4.244671775997435327e-05
4.140238409469469016e-05,4.634405637470684580e-05,4.311996609191109871e-05
4.478725510778730831e-05,4.804792354188322338e-05,4.351232256880274989e-05
4.122951183991877070e-05,4.515141208492763197e-05,4.422813826432641770e-05
4.194367047057261739e-05,4.533749847463571029e-05,4.467406904852033245e-05
4.125388653358300095e-05,4.526128875466088082e-05,4.378812018305171743e-05
4.073677096770058053e-05,4.494262537044968399e-05,4.186905049030588064e-05
4.362692862949181722e-05,4.571321574625235296e-05,4.271622663663095980e-05
4.119259745963642615e-05,4.479405609530307680e-05,4.359295918938093625e-05
3.944691292430107100e-05,4.451547083974462401e-05,4.229341398302237208e-05
4.065823647239475542e-05,4.656645339027518760e-05,4.337408576827661761e-05
3.939323233762187287e-05,4.465378964801451883e-05,4.483456189685904302e-05
4.032683472503705637e-05,4.497070838119652711e-05,4.366187726187039996e-05
4.157774741827965714e-05,4.591786044604084847e-05,4.310415842436300329e-05
4.095499941134638622e-05,4.547192218857964876e-05,4.377820690410752155e-05
4.035726183740787537e-05,4.403086936589816944e-05,4.014153639727227613e-05
4.129178599623989707e-05,4.495723253618403729e-05,4.168303522458799036e-05
4.139909222230462324e-05,4.333149455954854229e-05,4.234371616137001836e-05
4.003168018073174884e-05,4.613117932014783106e-05,4.235457749888373708e-05
4.087934026350563730e-05,4.422315484263147391e-05,4.426143165307035859e-05
4.113766214332243370e-05,4.242228430293160790e-05,4.336662331171362901e-05
4.088225827830345416e-05,4.466382295749945824e-05,4.010395501980425150e-05
4.023996898183693986e-05,4.412741150790189769e-05,4.100293451157798944e-05
4.112013009057985510e-05,4.364750206302824058e-05,4.276063243741057128e-05
4.064201851280768241e-05,4.309316990066342569e-05,4.396360846873648175e-05
3.878369089736406376e-05,4.294453751816143788e-05,4.080874627211285825e-05
3.977614181872188645e-05,4.510292005253700118e-05,4.177190792005560152e-05
3.929224593989563523e-05,4.343437132879510279e-05,4.254770052959313967e-05
4.034608098240004910e-05,4.379429392281454150e-05,4.192676332923503732e-05
3.947308333084066770e-05,4.344636258952074925e-05,4.202705535127273514e-05
3.955926930452925716e-05,4.533913110160851968e-05,4.307888541377365415e-05
4.100617726352563550e-05,4.476687325389340228e-05,4.162294395285700362e-05
3.922700418570892431e-05,4.398538927072186448e-05,4.166590681127101977e-05
3.996052950424103505e-05,4.198896654905478728e-05,4.099761122343213845e-05
4.021176564801524916e-05,4.421321815232760126e-05,4.025466998745734341e-05
3.944763392969134367e-05,4.333562052548078903e-05,4.238690450622503622e-05
3.769027640525992017e-05,4.485804068019880284e-05,4.251635483285920534e-05
4.032470176090584410e-05,4.415389247191896759e-05,4.135364349107893271e-05
3.794008405012203869e-05,4.289777170585174041e-05,4.140707338917195559e-05
3.720558441329796767e-05,4.501731774123554375e-05,4.062887772346078475e-05
4.128684905525521840e-05,4.371967529843714354e-05,4.041813203778757570e-05
3.833483622953078658e-05,4.250905636101735710e-05,4.259331687900176779e-05
3.938787071547834325e-05,4.130361575590049943e-05,4.064888690019709022e-05
3.776171783045297644e-05,4.413037351920993240e-05,3.965255231620448971e-05
3.734764587632286319e-05,4.194264940524968085e-05,4.248969906812374088e-05
3.932914325269804310e-05,4.207944132552614693e-05,3.976070864152299691e-05
3.681405221704834294e-05,4.377770779816880081e-05,3.930429102596841518e-05
3.950052765141751808e-05,4.246154506331148752e-05,4.141783956927912272e-05
3.821778934492323597e-05,4.293214724601169733e-05,4.121257389713390786e-05
3.835592275127893883e-05,4.231717031136489321e-05,4.010288283471447523e-05
3.775165500117203947e-05,4.180515217471447687e-05,4.102709520087611172e-05
3.876127750087599418e-05,4.369519386336623838e-05,3.929639567986049702e-05
3.724398079459145339e-05,4.327166021132910112e-05,3.813609592958710457e-05
3.690793541753537260e-05,4.150577107155329010e-05,4.040754544288961339e-05
3.880262955409461822e-05,4.200141381239752911e-05,3.950469121042108700e-05
3.614982809736798971e-05,4.254173377964744093e-05,3.776364323384081575e-05
3.904878893248602716e-05,4.089953927923245145e-05,3.945028801180868068e-05
3.628767041882748165e-05,4.357815787732078342e-05,4.147871288095721239e-05
3.831276383213261006e-05,4.165396447539704462e-05,3.990696364494663548e-05
3.889538019456539815e-05,4.248665204230893286e-05,4.101526943495742422e-05
3.880962530682675193e-05,4.325716357406616684e-05,3.736417133394622024e-05
3.839556602061476511e-05,4.316220436300501160e-05,4.110641191361044851e-05
3.662962405919745022e-05,4.138960103238830746e-05,3.987983573054904377e-05
3.700422098145467236e-05,4.302200132204326671e-05,3.923024514913839783e-05
3.605948258307345227e-05,4.028581137469272529e-05,4.185167374568280282e-05
3.625670024912506953e-05,4.352026462448147669e-05,4.183225100674995328e-05
3.711371360581773598e-05,4.200246051131962470e-05,4.154371649424196675e-05
3.820477242417344655e-05,4.222442974216163657e-05,4.045460183429121356e-05
3.769814046560016063e-05,4.282796153283339102e-05,4.016954196988012208e-05
3.690494249852131010e-05,4.251465164867439288e-05,3.953786234719101482e-05
3.784607505532215616e-05,4.222657956508894626e-05,4.035135827202450198e-05
3.821323785858254967e-05,4.228921309442979827e-05,3.925990207060976977e-05
3.577519316211344956e-05,4.141503047542536089e-05,3.809011825803177445e-05
3.624396657717918131e-05,4.201351545795058677e-05,3.877975549478756173e-05
3.638123987938401196e-05,3.898867371821676048e-05,3.982647758160018348e-05
3.729954143212391713e-05,4.158845588397160032e-05,3.753509960673477190e-05
3.735754435644123191e-05,3.966321577266812776e-05,3.915882750222717532e-05
3.522221233269645158e-05,4.033693406807673898e-05,4.090676307326926968e-05
3.766624834564760986e-05,4.297558308356712792e-05,3.763791260985937886e-05
3.546132676548250219e-05,4.124388670407690805e-05,3.714455462050670888e-05
3.516892225916552045e-05,4.090093376374054883e-05,3.782569581731608281e-05
3.585960101286092891e-05,4.109064012045916293e-05,3.911130298180513017e-05
3.689242434177641695e-05,4.207749016283199176e-05,3.927022523093192253e-05
3.684829093008447712e-05,4.069236162550098383e-05,3.906851672122105398e-05
3.646186816828840750e-05,4.035223286109885485e-05,3.864392264421864445e-05
3.691291144418689681e-05,4.200559656922383899e-05,3.823842142322546745e-05
3.701339880793325072e-05,4.028836281778807232e-05,3.989444473769723217e-05
3.568670971762413752e-05,4.196911518354395432e-05,3.712504089679934203e-05
3.572318054999515792e-05,4.108197992595533690e-05,3.847877091868937271e-05
3.459339504379266674e-05,4.030157958252768833e-05,3.858636799752746292e-05
3.423720586413359220e-05,3.989105862532457382e-05,3.823951304661164129e-05
3.678349266100421972e-05,4.008534879146746245e-05,3.886472683102348776e-05
3.659940362905795836e-05,3.927634927441887066e-05,3.759810289136033678e-05
3.465341038330557326e-05,4.140643363215836860e-05,3.684984790199895760e-05
3.484093767753525939e-05,4.141970101906322383e-05,3.815181300242135389e-05
3.510319081639964048e-05,3.928299061590545467e-05,3.703839716598330862e-05
3.626191650718106504e-05,4.067851472891739967e-05,3.800336421919820585e-05
3.470657652551896455e-05,4.049468508314868709e-05,3.598826674187824800e-05
3.595488321168092348e-05,3.935206990534642304e-05,3.757132417600559570e-05
3.421703315846130234e-05,3.949216419276994276e-05,3.631725103083870577e-05
3.589056062547721804e-05,4.011658451381175551e-05,3.616161119261285234e-05
3.457392421056375444e-05,3.828220514661562083e-05,3.887063532482443239e-05
3.596554835262982222e-05,3.959998106868254915e-05,3.822403795264289874e-05
3.464468475751513089e-05,4.065336545237411740e-05,3.760605813995147011e-05
3.376126361951595071e-05,4.264663089167300793e-05,3.873770721634481107e-05
3.588785294539466292e-05,3.758629159141606778e-05,3.743591238483056597e-05
3.380058776547621800e-05,4.124181621797221199e-05,3.578352606322653546e-05
3.364413240536974091e-05,3.950032386775619936e-05,3.638887197743192851e-05
3.288734143914160725e-05,3.986610609082013717e-05,3.535621442530299861e-05
