AD_wx (rad/s),AD_wy (rad/s),AD_wz (rad/s)
7.282551004845442145e-04,7.271318218708459034e-04,7.274072210702041451e-04
5.144255472499663666e-04,5.139696025542413909e-04,5.127313393049528351e-04
4.204280497946356258e-04,4.196496097968997361e-04,4.201668688054592993e-04
3.633859641911781567e-04,3.637592174196074488e-04,3.615079582975882621e-04
3.214316209320582725e-04,3.250282180821867958e-04,3.235517415885345513e-04
2.964950424689878259e-04,2.972064451210485272e-04,2.952666962323077836e-04
2.735645894345866010e-04,2.771723886755756198e-04,2.744933491286232039e-04
2.573283424561659369e-04,2.580988309443433973e-04,2.553800774378162347e-04
2.431384818890595825e-04,2.424345402328856650e-04,2.407711129606431748e-04
2.300837214671053903e-04,2.320525393472661015e-04,2.294179101633345814e-04
2.201207936869065888e-04,2.179204650854425437e-04,2.189280424297169005e-04
2.113622254764404023e-04,2.094521756786283284e-04,2.078565064528463727e-04
2.029835586770986741e-04,2.029072237773208386e-04,1.969058992648664152e-04
1.970638719499884564e-04,1.952974479192065647e-04,1.915424644490689972e-04
1.893473057775043114e-04,1.893288526608929555e-04,1.875888237384762815e-04
1.857441323481588019e-04,1.808115096031343363e-04,1.796614024398811836e-04
1.792784061867688447e-04,1.784188653677347847e-04,1.746985579739126658e-04
1.725152091618269753e-04,1.725805095281974166e-04,1.701665332026089340e-04
1.683151914645664409e-04,1.668383487027979368e-04,1.651063957912595088e-04
1.628767889712944147e-04,1.621500708431358934e-04,1.633132442480948938e-04
1.610353881406533720e-04,1.593081111353509898e-04,1.587071957257825969e-04
1.558712193712640188e-04,1.543193707792664046e-04,1.543310240006189396e-04
1.518832525419375125e-04,1.513573644608919076e-04,1.486783070498547685e-04
1.497042158802250073e-04,1.491585727475690010e-04,1.492897987056682402e-04
1.445735282283665648e-04,1.449618335098611847e-04,1.474153103561446981e-04
1.429922447171152133e-04,1.432980837342621549e-04,1.407918069252113566e-04
1.420601421770372927e-04,1.400773233133193753e-04,1.416869314455540129e-04
1.380639407595229452e-04,1.372535665323199668e-04,1.361291354402951255e-04
1.358680832641505733e-04,1.350757666344752118e-04,1.335367492833854628e-04
1.343440350325336501e-04,1.335375961206003437e-04,1.332958980718594089e-04
1.318165706591558749e-04,1.329869070948946441e-04,1.309660103293466100e-04
1.288834618169555190e-04,1.273937897296958141e-04,1.271934215983168859e-04
1.284201819131006791e-04,1.258877453321393595e-04,1.269367177526130601e-04
1.262658199853488792e-04,1.251575517320078536e-04,1.258285810439276823e-04
1.236965779050089114e-04,1.226465527079348579e-04,1.232701478648674353e-04
1.214710989005135820e-04,1.237481883055761237e-04,1.208899445966210156e-04
1.204423849853339460e-04,1.167633005188263562e-04,1.194094781102265885e-04
1.213145159230344351e-04,1.185653625510074048e-04,1.183040308748739984e-04
1.192272135204435699e-04,1.180099988831116020e-04,1.153898142815379656e-04
1.151228794578022102e-04,1.178411409691090789e-04,1.159154041862947619e-04
1.139138123164287406e-04,1.140001319452602795e-04,1.116436135826657838e-04
1.145805734915466547e-04,1.110675354144923226e-04,1.112214120372062863e-04
1.112022619694311707e-04,1.115439153067048725e-04,1.111757050370849935e-04
1.112351794978820813e-04,1.121323622430556367e-04,1.102254349718577767e-04
1.132501642269103791e-04,1.100004990779341756e-04,1.078068882101794690e-04
1.081327949308741380e-04,1.085340008907618851e-04,1.077600511430740134e-04
1.076991985895700950e-04,1.081317721225159742e-04,1.062202394119813654e-04
1.066475987530911995e-04,1.059691390358135033e-04,1.048399340037313210e-04
1.056480288697922063e-04,1.050115179116566371e-04,1.065205784081452357e-04
1.026048147869498194e-04,1.049642168941824713e-04,1.024030250784628001e-04
1.028351999177078363e-04,9.937235317135923308e-05,1.032190090734220561e-04
9.984811808337413022e-05,1.001990528532795133e-04,1.013599618475016870e-04
1.005807135078751272e-04,1.005992410529029974e-04,1.003976424711747797e-04
1.002754034264977454e-04,1.021943344611026981e-04,9.814482074801199438e-05
9.983588111134147674e-05,9.893570886129905966e-05,9.926149378469241241e-05
9.832823448915491127e-05,9.806317436302180958e-05,9.702395337070065867e-05
9.911217840987985575e-05,9.751193409450262934e-05,9.529360367697168948e-05
9.567803416648673891e-05,9.562018602042455097e-05,9.459683000015787753e-05
9.683781630447379932e-05,9.683816945617138179e-05,9.633073731811596645e-05
9.397581618595487508e-05,9.345153988953303341e-05,9.236210058415678830e-05
9.453294263158743276e-05,9.514639714910579766e-05,9.305770112193854243e-05
9.153424392001349524e-05,9.351165187248586090e-05,9.076839031917161905e-05
9.431737189217346748e-05,9.226655129310419904e-05,9.164439885602350486e-05
9.211040663730221049e-05,9.126016741405624101e-05,9.196741177404125166e-05
9.166352693613283623e-05,8.984932935566651872e-05,9.140137962593795906e-05
8.898371363624685564e-05,9.132548551290708332e-05,9.110926913413694439e-05
9.073377099458538176e-05,9.070369818235260527e-05,8.965773680210499053e-05
8.701837200080505088e-05,8.924906290737841545e-05,8.776906456036317875e-05
8.864611141830598261e-05,8.921475891733034961e-05,8.735513905491412842e-05
8.728597944100967591e-05,8.766361088299993748e-05,8.774688932641048372e-05
8.486840655646990094e-05,8.734425750220621283e-05,8.627501295866685086e-05
8.670889641041258417e-05,8.759348923476324245e-05,8.839042830823059681e-05
8.608000606480919342e-05,8.644353841663293225e-05,8.444212370110863058e-05
8.560954875753352717e-05,8.528584568537144308e-05,8.599126810294038532e-05
8.351013570616968185e-05,8.593626447097026870e-05,8.360067034781849978e-05
8.346725982071655594e-05,8.512196755995895202e-05,8.388153779594336324e-05
8.372423169352889174e-05,8.419219157168345317e-05,8.288299434502504346e-05
8.142267294557603422e-05,8.357099592049943137e-05,8.362594203530857853e-05
8.107615142944561010e-05,8.340461343386777857e-05,8.265383846978891652e-05
8.089409505856484889e-05,8.266669532322324493e-05,7.986109875443098355e-05
7.801021040049617265e-05,8.186603966152050595e-05,8.074356926191556970e-05
7.964069074292264776e-05,8.069332386576076946e-05,8.182160730039290475e-05
8.086230750157048428e-05,8.159841539272228144e-05,7.987472566291577180e-05
7.951086130414867874e-05,7.964171544877986946e-05,7.897012436409104458e-05
7.912617905103449807e-05,8.017464334753436638e-05,7.935405148797844465e-05
7.694449071605413617e-05,8.121082704318361562e-05,7.905724821850403149e-05
7.761734583815917544e-05,7.747495673565413102e-05,7.787329654863733559e-05
7.874814348221268227e-05,8.061693213801722024e-05,7.761715135054442812e-05
7.494642884447285573e-05,7.732130925668020136e-05,7.605834049894262235e-05
7.734740395156599376e-05,7.764422736943075510e-05,7.676715561529242672e-05
7.806024573663101671e-05,7.732924946634926169e-05,7.607801034465727229e-05
7.321752152389911293e-05,7.778073166708358637e-05,7.507243199596688710e-05
7.554038492581535518e-05,7.540742739542055976e-05,7.418522478537775255e-05
7.562262090447482337e-05,7.706381793867523634e-05,7.407624312470945192e-05
7.451041870306000597e-05,7.447114654856116774e-05,7.427210494215195631e-05
7.296811514164115904e-05,7.553811217460942547e-05,7.381225066098700670e-05
7.115081931785449568e-05,7.350622909461134780e-05,7.318620433069373621e-05
7.296374914197094981e-05,7.400121135973887270e-05,7.276402086097063517e-05
7.274060134040018883e-05,7.449324551508672884e-05,7.625214261672879821e-05
7.168100747056528404e-05,7.435947449002916054e-05,7.315886019590183331e-05
7.094207229106100842e-05,7.385405763154856906e-05,7.289160825994549437e-05
7.298198096940670975e-05,7.123055343896317663e-05,7.187945631934482607e-05
7.119065331387734957e-05,7.456657185696175829e-05,7.064995215370904779e-05
7.057871247737748459e-05,7.166550299042170576e-05,7.033135276253549262e-05
7.098475192125484391e-05,7.214755342410648117e-05,7.181531639412109690e-05
7.042118258339359008e-05,7.093000022152276508e-05,7.147285224277126405e-05
6.834571913960480979e-05,7.169056252045094145e-05,6.927869482852216183e-05
6.864384506068340350e-05,6.987408563867238457e-05,7.073008117521107957e-05
6.843297130458962673e-05,7.114923056226121084e-05,6.863159380971713727e-05
6.757275209861625127e-05,6.982237554461525871e-05,6.925465529206760885e-05
6.890113763302945437e-05,6.999434441740068097e-05,6.822811984218455457e-05
6.878938262238307210e-05,6.867882741774140062e-05,6.772283332841084699e-05
6.625358817430556974e-05,6.854973273761369142e-05,6.943900163558565266e-05
6.601299602275124609e-05,6.741355382201465608e-05,6.714098905142003933e-05
6.837960559146405090e-05,6.883955405462927968e-05,6.899910255471354938e-05
6.643651509013710017e-05,7.110670377106760674e-05,6.863630654020405283e-05
6.753976781164890120e-05,6.795544407424815390e-05,6.800490852415034247e-05
6.607149356561911873e-05,6.565213993577809464e-05,6.875534445474876970e-05
6.691282929338073730e-05,6.739813438794522407e-05,6.684224349495857930e-05
6.660719743665561481e-05,6.801622159564636738e-05,6.773418847709031135e-05
6.472181812250238071e-05,6.689488679670114893e-05,6.537891479753214199e-05
6.540920223048753385e-05,6.728802503611830334e-05,6.569380169120880267e-05
6.666940540580995058e-05,6.643183623679919545e-05,6.434094257807789667e-05
6.572990433485308972e-05,6.489009346989425646e-05,6.344613910494082505e-05
6.343877026850238115e-05,6.686033659357776466e-05,6.424419158510259016e-05
6.649849571554750788e-05,6.552145720862645288e-05,6.344122344999932593e-05
