AD_ax (m/s^2),AD_ay (m/s^2),AD_az (m/s^2)
5.175259143833034654e-03,5.010145047230007802e-03,7.935028929578005069e-03
3.684685996521337280e-03,3.537529486602850656e-03,5.625106486190230813e-03
3.020531428443991567e-03,2.891715824438182217e-03,4.602692258843029717e-03
2.600434770333543474e-03,2.498044459943110120e-03,3.997599277367964651e-03
2.327609269569216790e-03,2.237662226900848008e-03,3.562823416322133136e-03
2.136224078226072257e-03,2.041764112888270078e-03,3.244268103443729515e-03
1.977707725886969446e-03,1.895556692054157100e-03,2.998702700562738688e-03
1.830522671445961123e-03,1.753767144336193648e-03,2.796766875086731385e-03
1.731018057360625547e-03,1.667309782256868721e-03,2.631046113870247598e-03
1.639448689841064427e-03,1.581916968459257285e-03,2.521779610576111406e-03
1.586812204857059863e-03,1.502334673911474936e-03,2.376527960197118670e-03
1.503790011404222476e-03,1.445627191932745848e-03,2.298360732839586484e-03
1.441500791599494144e-03,1.394308458707547342e-03,2.201489102950593413e-03
1.412352360797255318e-03,1.332463426424747386e-03,2.113467000129117153e-03
1.357060835423378039e-03,1.296857267847237013e-03,2.049208578267754273e-03
1.298589894525385788e-03,1.255365158212313733e-03,1.971003961241472955e-03
1.256240324665789743e-03,1.238859693465269073e-03,1.927125351507477224e-03
1.230841901676007610e-03,1.179880718636107557e-03,1.877816005707818366e-03
1.201752437364219652e-03,1.166248466207329190e-03,1.830692738739026415e-03
1.181999654504588314e-03,1.133343759289203324e-03,1.779366444394352154e-03
1.163248223540428979e-03,1.093320685446174485e-03,1.720333484370459645e-03
1.129372328258558805e-03,1.067268321106689755e-03,1.677304748210010346e-03
1.093580611777870146e-03,1.051956044888019892e-03,1.651568562060310580e-03
1.064849342070172409e-03,1.035765847205100251e-03,1.657648013680503192e-03
1.030975886643951565e-03,1.001472889329957762e-03,1.596937152918105791e-03
1.029668537668948503e-03,9.703148336458682728e-04,1.583781438678057889e-03
9.969927410733341391e-04,9.575531688758983848e-04,1.560860169433915751e-03
9.996685953381910690e-04,9.447829494461710111e-04,1.489420263104843664e-03
9.702798079011818247e-04,9.276585872414534230e-04,1.485501996274039361e-03
9.630914631238978590e-04,9.134801878458214059e-04,1.461231975014468370e-03
9.280638699839884086e-04,8.948301873053925463e-04,1.431576431092104014e-03
9.069265571349372076e-04,8.920240526293729154e-04,1.420219903872861882e-03
9.084281933856485020e-04,8.786035131606710104e-04,1.361098017098115931e-03
8.982532309585595761e-04,8.678734760290335911e-04,1.368242838981472385e-03
8.858988854062108944e-04,8.390537804122056480e-04,1.343516403072366394e-03
8.647787392672559928e-04,8.348585946403270586e-04,1.342479052459666106e-03
8.561622251433277479e-04,8.223136081657003889e-04,1.322247932096136088e-03
8.419633139130586761e-04,8.096869251669517285e-04,1.301849646089602280e-03
8.509184610971309501e-04,7.974986651637955715e-04,1.264648135661426915e-03
8.247953074498556338e-04,7.966337055880868059e-04,1.272822875678876042e-03
8.108818112921100480e-04,7.858465777961108536e-04,1.249106077058988575e-03
8.160215616833799276e-04,7.700244634953830368e-04,1.234234369964316413e-03
7.882808387971833308e-04,7.621137045251124295e-04,1.213862964453823242e-03
7.861251081136985891e-04,7.446051157508974368e-04,1.185146291594803628e-03
7.697957324496310962e-04,7.362839942016756413e-04,1.173570884626462876e-03
7.636247120060920711e-04,7.318387068735748196e-04,1.171213011363232779e-03
7.570683812122711237e-04,7.241140503157524186e-04,1.173077152728072177e-03
7.499028416664013869e-04,7.231972449727363996e-04,1.146496497235529764e-03
7.367399383739458565e-04,7.207201977353957633e-04,1.140757047185048025e-03
7.513961739992000176e-04,7.027121613919213965e-04,1.129460901442249287e-03
7.293256698403095904e-04,6.993001022570591871e-04,1.114977995059501011e-03
7.293731430790608176e-04,6.881547273211930304e-04,1.124692884435648252e-03
7.122240587454435308e-04,6.922196827162670858e-04,1.117135153458270833e-03
7.226295092624248967e-04,6.784887678141122980e-04,1.087047532532719367e-03
6.976288870088975889e-04,6.594959982447071243e-04,1.070361337308974297e-03
6.745882701234654248e-04,6.563951446266845903e-04,1.045083057612077905e-03
6.827114810134130365e-04,6.473787283271105301e-04,1.044064097275273053e-03
6.817396634101285892e-04,6.524118767900143837e-04,1.051181328061985987e-03
6.737830428943511127e-04,6.409443697989890189e-04,1.037638690430474743e-03
6.705154034459419104e-04,6.406323182622000430e-04,1.025873916655885374e-03
6.671066410759348428e-04,6.371473986457325440e-04,1.013079796476859789e-03
6.471785826625198928e-04,6.234529311175014948e-04,1.013987273064252030e-03
6.637615553921460271e-04,6.192911863513569839e-04,1.005845861011397816e-03
6.368597733461060480e-04,6.112098951565554704e-04,1.000528704518046210e-03
6.543934131198898265e-04,6.111392281292306935e-04,9.896918051821960993e-04
6.391514166071605735e-04,6.067458151858455898e-04,9.565678924922285230e-04
6.259727247417260811e-04,6.015666023225665991e-04,9.882091256771929205e-04
6.311364795069982587e-04,5.939298319197149588e-04,9.630951281287514990e-04
6.254484092800298087e-04,5.921647188991161848e-04,9.358231228536367840e-04
6.189192064434366741e-04,5.900703085693894887e-04,9.240978915472713648e-04
6.035758967141163387e-04,5.936841554642203036e-04,9.250874867349578954e-04
6.107264645536694247e-04,5.847449726827162698e-04,9.345088665186587111e-04
5.957779797287342553e-04,5.783927523109576177e-04,9.252281409735643638e-04
6.044623272133992260e-04,5.808552509416580996e-04,9.395509200542790079e-04
5.994212898798804545e-04,5.623929190896904138e-04,9.254047283255171976e-04
6.033099016341502687e-04,5.761281363410907311e-04,9.148963635486927811e-04
5.903852911065046987e-04,5.629742015448178840e-04,9.244883452693655095e-04
5.746077176888059364e-04,5.594348653512611720e-04,8.953627692424554569e-04
5.780843016485114842e-04,5.521160609456132046e-04,9.002107427407708262e-04
5.726839555734817167e-04,5.635526991930506126e-04,8.999763589294367677e-04
5.827275807046571098e-04,5.413307663297196480e-04,8.943218922712099393e-04
5.693909584946119356e-04,5.342508392286227960e-04,8.817444665944539984e-04
5.708847182320036205e-04,5.348487001965363712e-04,8.980337930288675215e-04
5.570203324891503374e-04,5.472407463494721866e-04,8.916359495986825616e-04
5.636267934174388596e-04,5.407596382538934531e-04,8.953855150068783502e-04
5.499802371709480719e-04,5.222317317093665536e-04,8.892067285660868250e-04
5.472294226341095549e-04,5.291870890745316866e-04,8.617439497213809580e-04
5.410945132073291660e-04,5.179306036006733460e-04,8.684033353776619618e-04
5.340485411203532446e-04,5.329726765514470731e-04,8.483358095961484506e-04
5.429432058561090100e-04,5.259084915829952914e-04,8.626590436304491837e-04
5.574657033640579044e-04,5.086303317833015033e-04,8.506564579247625438e-04
5.363551179745088210e-04,5.140674095746411258e-04,8.086004654231455837e-04
5.452146289668644051e-04,5.246066920268749843e-04,8.223321423175132972e-04
5.284607455408757990e-04,5.002745975371655687e-04,8.327741401254914978e-04
5.298902697396501958e-04,4.977609671007529732e-04,8.354847878443729097e-04
5.232344944257986139e-04,5.023164635524785676e-04,8.150295524666252827e-04
5.273718743226119259e-04,5.002922435318297393e-04,8.126550193703622115e-04
5.187378292228591236e-04,5.167441751497501429e-04,8.210576692082726009e-04
5.205050432297908319e-04,5.020994606768741349e-04,8.173219808310558908e-04
5.182757669544616440e-04,4.972781153148646228e-04,8.018800792042320809e-04
5.136892699204273797e-04,4.906741098603040934e-04,7.854904403103261934e-04
5.057531123735452099e-04,4.951871566096196012e-04,8.011052687182201827e-04
5.105503897158180163e-04,4.810524460984747712e-04,8.319855504114688277e-04
5.105036671907875771e-04,4.889270514985969481e-04,8.187679754969495781e-04
4.941871574233335819e-04,4.893302717748206987e-04,7.633406495734016252e-04
4.884737889217336156e-04,4.791990535269678286e-04,7.945539905258834634e-04
4.979799868368797473e-04,4.637312861552288484e-04,7.771976448315403565e-04
