AD_wx (rad/s),AD_wy (rad/s),AD_wz (rad/s)
7.249638068799562057e-04,7.258406449917296794e-04,7.266036329925658430e-04
5.138640001583077727e-04,5.148038251980259971e-04,5.136731464949798563e-04
4.183294714232524305e-04,4.196988986152481635e-04,4.198510104949181422e-04
3.618231427303278229e-04,3.625286637572180623e-04,3.658720561567081861e-04
3.232490325032804030e-04,3.237141919580008298e-04,3.238022312545914727e-04
2.943349644653313747e-04,2.975853523780358262e-04,2.965080064306221627e-04
2.719084119757200985e-04,2.719014136773717201e-04,2.743854634419364480e-04
2.531298993105179224e-04,2.573458183178966500e-04,2.555873249142177547e-04
2.402829081784058790e-04,2.424744560905500485e-04,2.421195040504736456e-04
2.303032239039926033e-04,2.300971625403895029e-04,2.293910536743139759e-04
2.166096292610209613e-04,2.198473584628447320e-04,2.198681962595603777e-04
2.071806656509022151e-04,2.105660221938374826e-04,2.110285199912454964e-04
1.992897202503668983e-04,2.014829267466847164e-04,2.024066739736214596e-04
1.917172941193330223e-04,1.933652593732149117e-04,1.932860664085395619e-04
1.848412817505719439e-04,1.887026225843798938e-04,1.851550250707590523e-04
1.776982050605392736e-04,1.817492182412901224e-04,1.795011902467932689e-04
1.751878318764003536e-04,1.775079393788129428e-04,1.750496330331125124e-04
1.714113385253284859e-04,1.707576114986903391e-04,1.713134259490543257e-04
1.649732474616997396e-04,1.676423876770487666e-04,1.656940483020272572e-04
1.604503936032420643e-04,1.629757408664078450e-04,1.626618331437203614e-04
1.574154036954981690e-04,1.578240250028470272e-04,1.570362557551145612e-04
1.531872912122928280e-04,1.548146564489882653e-04,1.555246708478719739e-04
1.505637937922600742e-04,1.517586385992835264e-04,1.508928022715514566e-04
1.481213042072946902e-04,1.475752227809842484e-04,1.477061665172585848e-04
1.449616451379256488e-04,1.444932013134496483e-04,1.452454073428854789e-04
1.400398882128005968e-04,1.457155542101142259e-04,1.418976317691603563e-04
1.401863536837581053e-04,1.392609131845662319e-04,1.377868578372591656e-04
1.375081470723515833e-04,1.371994539757681500e-04,1.371116732708116967e-04
1.366836831146264622e-04,1.353455600651368585e-04,1.314721662813838894e-04
1.323324797314607258e-04,1.326975733240418401e-04,1.304176488042716148e-04
1.308154725375572337e-04,1.332573820035931611e-04,1.289408233663901730e-04
1.262927724690158528e-04,1.281476762032516278e-04,1.273354600352933740e-04
1.251097871563434005e-04,1.277741074830620693e-04,1.240042081507886117e-04
1.227296433734115363e-04,1.228100945307626646e-04,1.213293843215249523e-04
1.196645037327555115e-04,1.217190815651185556e-04,1.203824968077484914e-04
1.202400694726576621e-04,1.209688753894095720e-04,1.206950303464832157e-04
1.194485788358570929e-04,1.207911451466501271e-04,1.172761919276256952e-04
1.164581233351865075e-04,1.180022780399806869e-04,1.158444686568841584e-04
1.140964896464072146e-04,1.133021804321320924e-04,1.150297608716007635e-04
1.154661755576052323e-04,1.147692126273481812e-04,1.139152769914569347e-04
1.117424491880262676e-04,1.145897907980063121e-04,1.098823858160421487e-04
1.113943374718745125e-04,1.128533000335340538e-04,1.100758432562133025e-04
1.100775231315243561e-04,1.106833934136799535e-04,1.089764329752582211e-04
