AD_ax (m/s^2),AD_ay (m/s^2),AD_az (m/s^2)
5.198637177069580229e-03,5.019916216679509539e-03,7.962426706209949773e-03
3.695242188073875975e-03,3.550164386281605845e-03,5.632165435564953637e-03
3.005905960030121494e-03,2.881392809743248129e-03,4.603053589532585255e-03
2.617028117459443189e-03,2.508825921595816272e-03,3.981324510678272734e-03
2.337992771834480985e-03,2.237349288547033511e-03,3.535508723368449482e-03
2.125547125694672752e-03,2.064073493304137159e-03,3.245233392227009697e-03
1.963186322408105432e-03,1.902012181615470726e-03,3.024176646615731826e-03
1.840182452247236941e-03,1.773403337544024634e-03,2.820664821822230564e-03
1.729935109744395148e-03,1.666821882242671901e-03,2.654615931919410490e-03
1.634902594675012285e-03,1.582457944321688341e-03,2.526780048872346012e-03
1.552098911173059766e-03,1.513496098320697529e-03,2.401883830302957955e-03
1.506095456483484522e-03,1.451996101288652048e-03,2.316668583720532439e-03
1.433587101901323806e-03,1.387955221758332578e-03,2.222513587364002233e-03
1.378312534324612360e-03,1.347860661466257839e-03,2.141168866514011736e-03
1.334665705851626784e-03,1.290409969511021335e-03,2.067019178082651291e-03
1.299786583315100039e-03,1.272014850009505404e-03,1.978813436517527693e-03
1.266146846541426479e-03,1.201277651164228168e-03,1.935802837285431881e-03
1.224748431344898714e-03,1.176637029509642468e-03,1.875110595704827842e-03
1.192370058343665941e-03,1.158474450443600003e-03,1.836913490489210576e-03
1.167904663390944382e-03,1.116394892358744343e-03,1.791502265542946944e-03
1.112477828657728761e-03,1.091777989830644254e-03,1.738144679633224759e-03
1.100310797105055749e-03,1.059012079287288558e-03,1.704657825673959156e-03
1.073152603486939418e-03,1.043108898309987433e-03,1.649369183069126187e-03
1.066775240668187043e-03,1.016840457347322098e-03,1.652649667912897474e-03
1.039660147856324600e-03,9.993388223411637031e-04,1.602828325305017450e-03
1.018846046131583697e-03,9.821735106169530473e-04,1.564760097075171361e-03
9.854940399269050515e-04,9.768288711663479420e-04,1.559525977112107128e-03
9.824871126679736791e-04,9.396071345401834285e-04,1.500333487902154404e-03
9.828196366312850259e-04,9.226630765619713882e-04,1.497530185302388406e-03
9.380802002753707135e-04,9.089131563547298530e-04,1.463866427431230032e-03
9.261428319533809937e-04,8.933079439144849627e-04,1.442952652264999991e-03
9.105506651565889757e-04,8.727860055828449114e-04,1.421599975911981605e-03
9.111742222466914830e-04,8.668005598819102922e-04,1.384016800834523544e-03
8.883122287299201380e-04,8.379504365442707421e-04,1.371430193167717370e-03
8.736697624510776292e-04,8.398085691941498685e-04,1.346507846659635889e-03
8.596134528164305760e-04,8.351998969720966521e-04,1.344560215813662583e-03
8.427027163055859959e-04,8.129482290971801065e-04,1.285515358226874258e-03
8.251291354991683842e-04,8.244578328839681849e-04,1.294153863481797492e-03
8.365541849538328349e-04,7.931752252822497993e-04,1.278431321776652861e-03
8.216192130522335111e-04,7.790991144295641340e-04,1.273066311917910769e-03
8.271515772601087824e-04,7.824293229945525037e-04,1.236272916409585435e-03
7.863008303576694271e-04,7.548161852930506018e-04,1.202388598001397730e-03
7.874790708941435289e-04,7.475638307718420784e-04,1.216325155617899081e-03
7.874620261960269593e-04,7.462764823713266202e-04,1.206850237364208347e-03
7.776165441618588733e-04,7.362392932191264656e-04,1.177567958991643932e-03
7.768807827223713760e-04,7.312941615100940988e-04,1.167186845641844271e-03
7.551717482464650154e-04,7.315377104332550706e-04,1.164309176528046611e-03
7.408608968404764268e-04,7.073721143582824495e-04,1.157562925628486403e-03
7.314020221941617932e-04,7.110153936305062912e-04,1.128626509028536097e-03
7.318709392504237727e-04,7.025902036124724841e-04,1.117976010818488158e-03
7.251877667148203975e-04,6.939241349348418972e-04,1.095264864560430065e-03
7.115718469768680162e-04,6.869068897320438315e-04,1.087389850229008095e-03
7.089877701503641706e-04,6.869612153758206238e-04,1.092632163783776754e-03
6.881280014255641841e-04,6.946688277358568095e-04,1.085693071881514401e-03
6.969584941070819818e-04,6.671946002020646667e-04,1.077329080567241163e-03
6.952735422514111406e-04,6.760005717680259976e-04,1.071257482348724052e-03
6.786919619742984343e-04,6.819878954102327230e-04,1.058507075944627954e-03
6.698994798165016935e-04,6.491375298546000171e-04,1.050606037031135039e-03
6.721829738457649975e-04,6.353304184311916363e-04,1.032566942337595712e-03
6.660381178269175837e-04,6.413758222706429776e-04,1.044992594618501585e-03
6.515012846270567008e-04,6.354838425810951192e-04,1.012161031802139401e-03
6.456546360471761455e-04,6.525801377091721258e-04,1.003260999440523573e-03
6.454749359799429043e-04,6.506613511675713368e-04,9.980439636349852824e-04
6.512293919155542855e-04,6.241159983305376606e-04,9.812793710510647055e-04
6.366297670615790692e-04,6.205985922538274522e-04,9.838865744346266071e-04
6.402969489865781728e-04,6.268797049099675278e-04,9.795442680125426588e-04
6.326184766018197979e-04,6.146455625087634536e-04,9.751585356670124322e-04
6.233562616628615573e-04,6.167261933663299505e-04,9.579992616986110921e-04
6.314884923995225594e-04,6.098750711899479909e-04,9.620022891541920142e-04
6.245218357585415351e-04,5.863696761391104083e-04,9.439260773062599060e-04
6.152548190049907540e-04,5.983745563389471743e-04,9.144188045642847283e-04
5.924764202260082713e-04,5.947560432073044833e-04,9.285623190960675668e-04
5.989349585115865847e-04,5.669947138775166973e-04,9.289476262921759521e-04
5.962706610183712060e-04,5.711516560796257337e-04,9.269033768299075274e-04
5.915735803037063152e-04,5.696254855463736512e-04,9.162620323216750032e-04
5.985627483824452815e-04,5.859229728142052816e-04,9.189470767090462695e-04
5.885962046081306097e-04,5.662502086294755876e-04,8.940289403438188157e-04
5.797544885039725496e-04,5.671729956241656958e-04,8.798644918151427062e-04
5.934925610551906308e-04,5.593886717031642999e-04,8.729986145115326349e-04
5.773185437279966048e-04,5.585878583957478577e-04,8.862269255020259777e-04
5.842814462791311343e-04,5.610560727757955791e-04,9.058318020221931867e-04
5.660941184889432170e-04,5.371607547727433969e-04,8.586749973660796160e-04
5.594583476868902200e-04,5.394773289584536965e-04,8.617883368813946841e-04
5.626506677515377003e-04,5.494034260561799854e-04,8.581159081940598933e-04
5.635911652207726153e-04,5.352489266338143802e-04,8.458365652987206865e-04
5.461485769660133667e-04,5.209981184888127842e-04,8.744567044358680539e-04
5.664773344100999981e-04,5.403883548598103093e-04,8.318176477357492552e-04
5.451649711513687413e-04,5.259386139996585080e-04,8.518697611162701598e-04
